Dat;Region_ID;FD_ID;Umsatz
2022-01-19;92;3;6612,16
2022-01-19;94;3;43206,99
2022-01-20;01;3;620290,56
2022-01-20;02;5;8695278,93
2022-01-20;03;8;154336,6
2022-01-20;04;7;74493,97
2022-01-20;05;4;404877,61
2022-01-20;06;4;133480,91
2022-01-20;07;4;324501,87
2022-01-20;08;3;128177,12
2022-01-20;09;4;466819,14
2022-01-20;10;2;623392,8
2022-01-20;11;2;1283204,93
2022-01-20;12;5;432816,36
2022-01-20;13;5;1388790,5
2022-01-20;14;8;235619,72
2022-01-20;15;4;1130027,17
2022-01-20;16;5;11468110,57
2022-01-20;17;7;275438,89
2022-01-20;18;5;4483933,75
2022-01-20;19;7;403291,72
2022-01-20;20;4;114772,66
2022-01-20;21;5;1173630,13
2022-01-20;22;7;2382042,85
2022-01-20;23;3;27878114,08
2022-01-20;24;7;5553411,06
2022-01-20;25;8;3749281,18
2022-01-20;26;4;10848302,64
2022-01-20;27;8;523071,21
2022-01-20;28;8;283922,55
2022-01-20;29;2;1094558,2
2022-01-20;30;3;6285336,06
2022-01-20;31;1;8853511,87
2022-01-20;32;1;2434334,79
2022-01-20;33;1;2052716,31
2022-01-20;34;3;5158748,88
2022-01-20;35;2;2162070,04
2022-01-20;36;1;9154595,98
2022-01-20;37;1;1339913,01
2022-01-20;38;7;2116534,22
2022-01-20;39;2;391493,72
2022-01-20;40;1;4917441,12
2022-01-20;41;8;3359,27
2022-01-20;42;7;1680234,98
2022-01-20;43;5;1224862,8
2022-01-20;44;1;1041175,88
2022-01-20;45;6;1050256,38
2022-01-20;46;1;2165461,31
2022-01-20;47;2;3158349,88
2022-01-20;48;1;5577016,58
2022-01-20;49;8;263707,56
2022-01-20;50;1;28018784,29
2022-01-20;51;2;591819,42
2022-01-20;52;5;7184674,81
2022-01-20;53;2;1361360,2
2022-01-20;54;7;7119213,18
2022-01-20;55;7;1502840,06
2022-01-20;56;5;5479699,67
2022-01-20;57;1;2501657,27
2022-01-20;58;5;1210564,94
2022-01-20;59;5;2512951,46
2022-01-20;60;2;1074572,22
2022-01-20;61;3;24534762,5
2022-01-20;62;1;2031042,91
2022-01-20;63;5;10709206,95
2022-01-20;64;5;3127093,97
2022-01-20;65;8;153374,2
2022-01-20;66;6;8438463,41
2022-01-20;67;1;1884318,43
2022-01-20;68;1;2088914,31
2022-01-20;69;1;2605580,85
2022-01-20;70;7;714492,89
2022-01-20;71;1;5586632,25
2022-01-20;72;6;2616879,11
2022-01-20;73;5;5293785,57
2022-01-20;74;6;5301750,14
2022-01-20;75;8;1809768,6
2022-01-20;76;1;4418716,93
2022-01-20;77;1;97021985,65
2022-01-20;78;2;18662483,87
2022-01-20;86;6;3711351,38
2022-01-20;87;8;133828,1
2022-01-20;89;6;1039938,06
2022-01-20;91;3;111720,12
2022-01-20;92;3;11384,43
2022-01-20;94;3;81082,67
2022-01-21;01;3;810066,39
2022-01-21;02;5;8758704,52
2022-01-21;03;8;115076,58
2022-01-21;04;7;106135,76
2022-01-21;05;4;293882,64
2022-01-21;06;4;216433,5
2022-01-21;07;4;264151,31
2022-01-21;08;3;126378,87
2022-01-21;09;4;399830,5
2022-01-21;10;2;831005,25
2022-01-21;11;2;1182551,6
2022-01-21;12;5;473779,34
2022-01-21;13;5;886093,2
2022-01-21;14;8;478637,95
2022-01-21;15;4;1075825,55
2022-01-21;16;5;11372259,41
2022-01-21;17;7;144051,91
2022-01-21;18;5;4623874,19
2022-01-21;19;7;354813,94
2022-01-21;20;4;104063,52
2022-01-21;21;5;1209272,22
2022-01-21;22;7;2552573,8
2022-01-21;23;3;28241644,66
2022-01-21;24;7;5108619,01
2022-01-21;25;8;4237967,77
2022-01-21;26;4;10657988,79
2022-01-21;27;8;483492,36
2022-01-21;28;8;138038,51
2022-01-21;29;2;1056414,43
